a	/a/
accompagnement	/akɔ̃paɲmɑ̃/
accompagnements	/akɔ̃paɲmɑ̃/
accompagnent	/akɔ̃paɲ/
accompagner	/akɔ̃paɲe/
accompagnera	/akɔ̃paɲəʁa/
accompagnerai	/akɔ̃paɲəʁɛ/
accompagnerais	/akɔ̃paɲəʁɛ/
accompagnerait	/akɔ̃paɲəʁɛ/
accompagneras	/akɔ̃paɲəʁa/
accompagnerez	/akɔ̃paɲəʁe/
accompagnerons	/akɔ̃paɲəʁɔ̃/
accompagneront	/akɔ̃paɲəʁɔ̃/
accompagnes	/akɔ̃paɲ/
accompagnés	/akɔ̃paɲe/
accompagnez	/akɔ̃paɲe/
accompagniez	/akɔ̃paɲje/
accompagnons	/akɔ̃paɲɔ̃/
accompli	/akɔ̃pli/
accomplie	/akɔ̃pli/
accomplies	/akɔ̃pli/
accomplir	/akɔ̃pliʁ/
accomplira	/akɔ̃pliʁa/
accomplirai	/akɔ̃pliʁɛ/
accompliras	/akɔ̃pliʁa/
accomplirez	/akɔ̃pliʁe/
accomplirons	/akɔ̃pliʁɔ̃/
accomplis	/akɔ̃pli/
accomplissait	/akɔ̃plisɛ/
accomplissant	/akɔ̃plisɑ̃/
accomplisse	/akɔ̃plis/
accomplissement	/akɔ̃plismɑ̃/
accomplissements	/akɔ̃plismɑ̃/
accomplissent	/akɔ̃plis/
accomplissez	/akɔ̃plise/
accomplissons	/akɔ̃plisɔ̃/
accomplit	/akɔ̃pli/
accord	/akɔʁ/
accorda	/akɔʁda/
accordaient	/akɔʁdɛ/
accordais	/akɔʁdɛ/
accordait	/akɔʁdɛ/
accordant	/akɔʁdɑ̃/
accorde	/akɔʁd/
accordé	/akɔʁde/
accordée	/akɔʁde/
accordées	/akɔʁde/
accordent	/akɔʁd/
accordéon	/akɔʁdeɔ̃/
accordéoniste	/akɔʁdeɔnist/
accordéons	/akɔʁdeɔ̃/
accorder	/akɔʁde/
accordera	/akɔʁdəʁa/
accorderai	/akɔʁdəʁɛ/
accorderais	/akɔʁdəʁɛ/
accorderait	/akɔʁdəʁɛ/
accorderas	/akɔʁdəʁa/
accorderez	/akɔʁdəʁe/
accorderiez	/akɔʁdəʁje/
accorderons	/akɔʁdəʁɔ̃/
